user,votes,tags,date
toni,9,android and google-maps and maps and google-maps-android-api-2 and vector-graphics,"Dec 3, 2014 at 6:19"
Cương,9,windows-services,"Dec 3, 2014 at 4:53"
ChrisB,9,delphi and vcl and delphi-xe7,"Dec 2, 2014 at 21:14"
AVEbrahimi,9,android and wear-os,"Dec 2, 2014 at 7:07"
SKK,9,android and sdk and ms-office and viewer,"Dec 2, 2014 at 6:46"
Farhan stands with Palestine,9,java and nullpointerexception and eclipse-luna,"Dec 1, 2014 at 12:00"
Nitin Grewal,9,devise,"Dec 1, 2014 at 4:59"
theJosh,9,android and performance and garbage-collection and samsung-mobile,"Nov 30, 2014 at 19:03"
4ntoine,9,xml and wsdl and cxf and wsdl2java and ws-discovery,"Nov 28, 2014 at 14:55"
user3771123,9,javascript and wpf and ssl and websocket and wss,"Nov 27, 2014 at 12:36"
GibboK,9,google-chrome and chromium and google-code,"Nov 26, 2014 at 21:04"
user361526,9,ios and xcode and localization and xcode6.1 and xliff,"Nov 26, 2014 at 20:35"
Cameron,9,javascript and jquery and chromecast,"Nov 26, 2014 at 11:46"
alfredo,9,ios and m3u8 and http-live-streaming,"Nov 24, 2014 at 2:04"
rupps,9,android and android-canvas and transparency and porter-duff,"Nov 22, 2014 at 8:17"
Rusik,9,ios and uikit and autolayout,"Nov 21, 2014 at 12:41"
Ankit Aggarwal,9,java and android and opencv and image-processing and feature-detection,"Nov 20, 2014 at 9:22"
gogachinchaladze,9,html and tumblr,"Nov 19, 2014 at 21:31"
Juicy,9,android and matrix and bitmap and draw,"Nov 18, 2014 at 21:44"
LHeslenfeld,9,android and service and voice-recognition and android-5.0-lollipop,"Nov 17, 2014 at 14:17"
pdorgambide,9,spring and hibernate and spring-security and benchmarking and multi-tenant,"Nov 15, 2014 at 8:19"
Plebios,9,android and linux and serial-port,"Nov 14, 2014 at 10:33"
Mike Weir,9,javascript and c++ and opengl-es and webgl and emscripten,"Nov 13, 2014 at 19:58"
codeMonkey_1066,9,cordova and gwt and windows-phone-8.1,"Nov 12, 2014 at 17:33"
Mariano,9,objective-c and macos and launchd,"Nov 12, 2014 at 13:26"
Andrés Oviedo,9,oracle and hibernate and ejb and websphere and xa,"Nov 11, 2014 at 19:21"
Dan Hlavenka,9,google-maps and google-maps-api-3,"Nov 11, 2014 at 15:28"
Kummo,9,java and docker,"Nov 10, 2014 at 18:16"
Megi Ben Nun,9,javascript and ios8.1,"Nov 6, 2014 at 11:32"
Samy Louize Hanna,9,java and itext and flying-saucer,"Nov 2, 2014 at 16:54"
Programmer,9,windows and winapi,"Oct 31, 2014 at 13:48"
user2990437,9,ios and cloudkit,"Oct 30, 2014 at 4:06"
Kevin,9,android and multithreading and garbage-collection,"Oct 29, 2014 at 15:45"
Jyakku,9,opengl and plugins and unity-game-engine and rendering and oculus,"Oct 27, 2014 at 18:20"
charybr,9,spring-data-jpa and spring-data-rest,"Oct 27, 2014 at 14:08"
Diego Gómez Olvera,9,android and nullpointerexception and connectivity,"Oct 27, 2014 at 13:09"
Jeffpowrs,9,javascript and ios and safari,"Oct 24, 2014 at 19:22"
vbarbarosh,9,javascript and reactjs,"Oct 23, 2014 at 15:38"
oleg.semen,9,mortar,"Oct 22, 2014 at 15:55"
Ignacio Guerendiain,9,android and view and dialog and touch,"Oct 21, 2014 at 14:01"
user3179515,9,java and spring and spring-security,"Oct 21, 2014 at 12:38"
KYC,9,emacs and org-mode and tramp,"Oct 20, 2014 at 2:59"
sonalkr132,9,ruby-on-rails and smtp and actionmailer,"Oct 19, 2014 at 6:44"
Roman Kliuchko,9,fonts and phpstorm,"Oct 18, 2014 at 9:37"
Jordan H,9,ios and ios8 and photokit,"Oct 17, 2014 at 23:32"
Mehran,9,svn,"Oct 12, 2014 at 8:06"
isalteverything,9,python-2.7 and pandas,"Oct 9, 2014 at 23:58"
Gabe,9,visual-studio-2012 and sql-server-2012 and database-project,"Oct 9, 2014 at 16:14"
Anupam Sharma,9,java and pdf and itext,"Oct 7, 2014 at 6:28"
Katler,9,android and mobile and printing,"Oct 3, 2014 at 10:48"
Petros Mastrantonas,9,android and admob,"Oct 1, 2014 at 8:45"
am71722,9,caching and manifest and application-cache,"Sep 30, 2014 at 20:22"
Daniel Gabriele,9,android and canvas and view and bitmap and hardware-acceleration,"Sep 26, 2014 at 6:13"
rizzes,9,ios and copy and rename and nsfilemanager and uidocument,"Sep 25, 2014 at 20:35"
Sharon Nathaniel,9,ios and objective-c and ipad and memory and ios8,"Sep 25, 2014 at 13:01"
thewulf,9,uiviewcontroller and uinavigationcontroller and ios8 and presentviewcontroller,"Sep 25, 2014 at 9:27"
sgao,9,java and neo4j,"Sep 24, 2014 at 20:35"
prometheuspk,9,android and emoji,"Sep 24, 2014 at 18:40"
devrogs,9,java and maven and maven-3 and pom.xml and maven-tomcat-plugin,"Sep 24, 2014 at 8:57"
AppsDev,9,ios and camera and ios8 and zbar-sdk,"Sep 22, 2014 at 7:57"
SingleWave Games,9,java and android and memory-management and memory-leaks and animationdrawable,"Sep 19, 2014 at 16:17"
Mmh,9,sockets and firefox-addon-sdk,"Sep 18, 2014 at 10:09"
chachan,9,python and celery,"Sep 16, 2014 at 18:24"
A. Steenbergen,9,android and animation and spinner and drawable and android-glide,"Sep 16, 2014 at 17:05"
MLKiiwy,9,sorting and parse-platform and baseadapter,"Sep 16, 2014 at 16:14"
nwinkler,9,javascript and unit-testing and jasmine and phantomjs and karma-runner,"Sep 16, 2014 at 8:12"
wabisabit,9,javascript and google-chrome-extension,"Sep 2, 2014 at 20:39"
Varun Iyer,9,javascript and apache and .htaccess and post and steam,"Aug 31, 2014 at 22:45"
Effectoxx,9,crop and mask and fill and inverse,"Aug 29, 2014 at 22:22"
hello.wjx,9,c and gcc,"Aug 18, 2014 at 9:44"
Apostolos Emmanouilidis,9,javascript and phantomjs and mqtt and paho and aerogear,"Aug 17, 2014 at 10:33"
user3667217,9,python and python-3.x and pip and distutils,"Aug 11, 2014 at 8:56"
Jori,9,php and utf-8 and ctype,"Aug 10, 2014 at 13:34"
user3600403,9,pdf and c++-cli and pdfsharp,"Aug 9, 2014 at 20:30"
denizeren,9,linux-kernel and system-calls and mmap,"Aug 6, 2014 at 9:10"
pastillman,9,wpf and collectionviewsource and hierarchicaldatatemplate,"Aug 4, 2014 at 21:03"
user3265943,9,html and css,"Aug 4, 2014 at 6:11"
Alan C.,9,php and xdebug,"Jul 31, 2014 at 21:04"
zkurtz,9,knitr and r-markdown and .emf,"Jul 30, 2014 at 15:30"
Marius Hilarious,9,android and parse-platform,"Jul 28, 2014 at 23:19"
RienNeVaPlu͢s,9,css and firefox and position and fixed,"Jul 23, 2014 at 17:22"
fditz,9,html and getusermedia,"Jul 22, 2014 at 15:00"
user3035952,9,c and memcpy and memory-alignment and armcc,"Jul 22, 2014 at 9:18"
Miguel,9,wpf and .net-4.0 and drag-and-drop,"Jul 21, 2014 at 18:08"
Okipa,9,namespaces and xhtml and sitemap and multilingual and alternate,"Jul 21, 2014 at 11:42"
Darin Dimitrov,9,google-oauth,"Jul 18, 2014 at 6:19"
user2485710,9,c++ and templates and gcc and c++11 and clang,"Jul 17, 2014 at 21:57"
Durai Amuthan.H,9,java and android and android-networking and traceroute and nat-traversal,"Jul 17, 2014 at 12:42"
yegor256,9,java and linux and unicode and character-encoding,"Jul 17, 2014 at 11:14"
Gopinath,9,android and android-studio and android-gradle-plugin and android-sdk-tools and android-build,"Jul 15, 2014 at 6:55"
Dark Knight,9,git and github and repository,"Jul 9, 2014 at 21:34"
uglycat5,9,python and xml and xml-namespaces and elementtree and shibboleth,"Jul 3, 2014 at 14:59"
Tom Prats,9,jquery and forms and ruby-on-rails-4 and ajaxform and remotipart,"Jul 3, 2014 at 12:57"
Mo J. Mughrabi,9,celery,"Jul 2, 2014 at 21:49"
LastBye,9,c# and entity-framework and entity-framework-6 and dbset,"Jun 24, 2014 at 11:37"
Alex Rothberg,9,django and django-rest-framework and nested-routes and django-guardian,"Jun 24, 2014 at 3:27"
user1592546,9,android and android-mediacodec and openmax,"Jun 23, 2014 at 19:25"
Boris L,9,javascript and visual-studio and visual-studio-2013,"Jun 23, 2014 at 6:18"
nickfinity,9,ckeditor,"Jun 18, 2014 at 18:16"
user3752800,9,java and android and html,"Jun 18, 2014 at 13:56"
Vic,9,maven and maven-3 and parallel-builds,"Jun 18, 2014 at 13:32"
Peter,9,google-app-engine and google-search-api,"Jun 17, 2014 at 7:56"
netmikey,9,git and symfony and phpunit and bundle and composer-php,"Jun 16, 2014 at 20:19"
Boumbles,9,windows and git and github and jenkins,"Jun 13, 2014 at 19:36"
dr_watson,9,sharepoint and ssis and odata,"Jun 10, 2014 at 18:27"
Rengers,9,ios and performance and metadata and uidocument and nsfilewrapper,"Jun 5, 2014 at 19:00"
ep0,9,nginx and fastcgi,"Jun 4, 2014 at 11:48"
jsd,9,macos and cocoa and nsmenuitem and nsviewcontroller and nsresponder,"Jun 4, 2014 at 2:18"
dawid gdanski,9,spring and spring-mvc and spring-security,"May 29, 2014 at 10:04"
Salvador Dali,9,mongodb,"May 25, 2014 at 2:02"
Daniel Hansander,9,android and bluetooth-lowenergy and nexus-7 and texas-instruments,"May 22, 2014 at 8:57"
Manu K Mohan,9,javascript and html and css,"May 22, 2014 at 7:27"
Steffen,9,java and character-encoding and zipoutputstream,"May 21, 2014 at 12:51"
Janpan,9,android and exif and android-camera-intent and android-bitmap,"May 20, 2014 at 14:09"
ligi,9,android and android-layout,"May 19, 2014 at 13:29"
Max,9,ios and colors and uikit and statusbar,"May 16, 2014 at 22:33"
Ziemo,9,java and rest and ejb and cdi and wildfly,"May 13, 2014 at 13:40"
theV0ID,9,android and android-testing and android-date,"May 13, 2014 at 13:15"
the_karel,9,cordova and tdd and jasmine and cordova-3 and karma-runner,"May 12, 2014 at 22:08"
bluebamboo,9,javascript and android and interface and gecko,"May 12, 2014 at 19:02"
phipsgabler,9,haskell and strictness and ghc-generics,"May 8, 2014 at 16:22"
Paweł Skaba,9,facebook and facebook-graph-api and share,"May 7, 2014 at 17:16"
Anders Ellern Bilgrau,9,r and normalization and bioinformatics and bioconductor,"May 7, 2014 at 8:42"
michas,9,java and maven and maven-3 and maven-plugin and guice,"May 5, 2014 at 15:51"
phi,9,ios and static-libraries and cocoapods,"May 1, 2014 at 11:25"
lanthica,9,python-3.x and reportlab and code39,"May 1, 2014 at 2:43"
dornad,9,android and file-upload and amazon-s3 and sslexception,"Apr 28, 2014 at 14:35"
Roland,9,c++ and templates and dynamic-linking and dllexport,"Apr 24, 2014 at 11:51"
njosa,9,android and google-analytics and google-tag-manager and google-analytics-firebase,"Apr 23, 2014 at 21:40"
steve_t,9,android and process,"Apr 23, 2014 at 11:35"
chrlaura,9,ios and iphone and objective-c and google-analytics and google-analytics-api,"Apr 23, 2014 at 10:12"
user2984305,9,node.js and http and memory-leaks and meteor,"Apr 20, 2014 at 23:02"
aaron,9,javascript and request and phantomjs and casperjs and headless-browser,"Apr 20, 2014 at 5:13"
BrianM,9,css and google-chrome and multiple-columns,"Apr 19, 2014 at 8:07"
jwhit3,9,azure and azure-web-app-service,"Apr 18, 2014 at 18:33"
user2784435,9,android and android-spinner and android-drawable and android-library,"Apr 17, 2014 at 17:39"
seaders,9,windows and macos and symlink and mklink,"Apr 17, 2014 at 13:00"
Orlin Georgiev,9,google-analytics and report and measurement-protocol,"Apr 16, 2014 at 13:59"
matthisb,9,javascript and file and cordova and fileapi,"Apr 15, 2014 at 8:16"
NeoWang,9,python and django and web,"Apr 15, 2014 at 1:50"
prom85,9,android and android-videoview and mediacontroller,"Apr 10, 2014 at 13:04"
Philio,9,android and wifi and wifi-direct,"Apr 10, 2014 at 9:23"
Nitzan Shaked,9,windows and github and atlassian-sourcetree and openssh,"Apr 8, 2014 at 19:04"
donCarlosOne,9,php and google-api and google-calendar-api and google-api-php-client,"Apr 7, 2014 at 22:14"
san,9,ios and avaudioplayer and alpha and lockscreen and mpnowplayinginfocenter,"Apr 7, 2014 at 19:59"
Monzer Yaghi,9,android,"Apr 7, 2014 at 6:34"
user1049961,9,jquery and twitter-bootstrap and jcrop,"Apr 6, 2014 at 18:10"
user1657666,9,git,"Apr 4, 2014 at 18:44"
TN.,9,c# and sql-server and entity-framework and ef-code-first and full-text-search,"Apr 4, 2014 at 14:26"
Galder Zamarreño,9,scala and unit-testing and junit and gradle and junit4,"Apr 2, 2014 at 6:50"
user3292394,9,android and android-wifi and access-point,"Apr 1, 2014 at 13:33"
user3475098,9,android-fragments,"Mar 29, 2014 at 6:22"
Paramesh,9,java and file and audio and device and jitsi,"Mar 26, 2014 at 9:20"
IE-hater,9,image and caching and proxy and gmail,"Mar 25, 2014 at 12:31"
soleil,9,ios and instagram and uiapplication and uidocumentinteraction,"Mar 24, 2014 at 23:26"
Chayemor,9,android and android-syncadapter,"Mar 24, 2014 at 23:01"
s g,9,compilation and linker and autotools and libtool,"Mar 20, 2014 at 21:33"
Helena,9,svn and tortoisesvn,"Mar 19, 2014 at 7:52"
greywolf82,9,android and google-play-services,"Mar 15, 2014 at 16:53"
Spaceman,9,phantomjs,"Mar 15, 2014 at 13:31"
ZhangLei,9,android and android-mediaplayer,"Mar 14, 2014 at 7:37"
m-ric,9,linux and memory and linux-kernel,"Mar 12, 2014 at 21:20"
halfblood17,9,ios and notifications and avaudiosession,"Mar 12, 2014 at 11:11"
user1558796,9,javascript and youtube-api and youtube-javascript-api,"Mar 6, 2014 at 14:43"
silvesterprabu,9,javascript and canvas and oauth and clientid,"Mar 6, 2014 at 6:10"
user2692420,9,ios and avplayer and http-live-streaming and subtitle and srt,"Mar 5, 2014 at 22:55"
Cristiana Chavez,9,java and android and json and youtube and android-youtube-api,"Mar 5, 2014 at 6:01"
Amey,9,python and python-3.x and pep8 and pyflakes and flake8,"Mar 3, 2014 at 18:32"
chaopeng,9,java and java.util.concurrent,"Feb 27, 2014 at 17:36"
hammer,9,java and c++ and javacpp,"Feb 27, 2014 at 8:23"
durden2.0,9,python and python-sphinx,"Feb 26, 2014 at 18:15"
rperryng,9,android and android-activity and ontouchlistener and android-dialogfragment,"Feb 25, 2014 at 19:15"
user3352442,9,reporting-services and sql-server-2008-r2 and subscription and ssrs-2008-r2,"Feb 25, 2014 at 18:00"
Simon,9,entity-framework,"Feb 25, 2014 at 13:39"
SuperUser,9,git and github and issue-tracking,"Feb 24, 2014 at 9:43"
Gene Vincent,9,android and email and mime-types and attachment,"Feb 15, 2014 at 23:23"
d-_-b,9,javascript and synchronous and appendchild,"Feb 14, 2014 at 5:42"
Kraytul,9,playframework and playframework-2.2 and playframework-evolutions,"Feb 11, 2014 at 0:51"
Rez,9,android-intent and sms,"Feb 8, 2014 at 18:08"
Wallace Kelly,9,c# and clickonce,"Feb 7, 2014 at 15:31"
codl,9,google-chrome and data-uri and svg-filters,"Feb 6, 2014 at 16:04"
duongthaiha,9,c# and parameters and nunit and overriding and moq,"Feb 4, 2014 at 22:15"
mjr,9,javascript and angularjs and internet-explorer and google-chrome and basic-authentication,"Feb 4, 2014 at 17:51"
Muntasim,9,twitter-bootstrap-3 and bootstrap-datepicker,"Feb 2, 2014 at 6:31"
Sebastian,9,java and mapping and jackson and spring-data-mongodb,"Jan 30, 2014 at 23:30"
Amda,9,jquery and state and jstree,"Jan 30, 2014 at 17:57"
0xAffe,9,django and django-models and django-admin,"Jan 30, 2014 at 8:07"
Simon Gibbs,9,java and corba,"Jan 29, 2014 at 16:52"
martinez314,9,java and ant and annotations and javac,"Jan 29, 2014 at 15:09"
alonisser,9,git and git-merge and git-bash,"Jan 23, 2014 at 13:15"
ikzjfr0,9,android and statusbar and android-dialogfragment and android-4.4-kitkat,"Jan 22, 2014 at 23:49"
adit,9,symfony and orm and doctrine-orm,"Jan 20, 2014 at 4:59"
user2921504,9,sublimetext2 and sftp and sublime-text-plugin,"Jan 14, 2014 at 16:54"
Valentyn Grygoriev,9,c# and thumbnails and screenshot and dwm,"Jan 12, 2014 at 21:32"
lorenzop,9,android and bluetooth and android-bluetooth,"Jan 10, 2014 at 11:47"
Dan,9,ios and objective-c and icalendar and uidocumentinteraction,"Jan 8, 2014 at 10:05"
avernet,9,node.js and ssl and client-certificates,"Jan 8, 2014 at 1:42"
Peter V. Mørch,9,apache and vhosts,"Jan 3, 2014 at 13:01"
user1006072,9,android and push-notification and google-play and upgrade,"Jan 3, 2014 at 9:30"
Criss,9,java and android and background and gallery and slideshow,"Dec 28, 2013 at 12:50"
Matt,9,android and android-contentprovider and mediastore,"Dec 20, 2013 at 19:19"
Amine Kadimi,9,android and sqlite,"Dec 19, 2013 at 23:04"
João Martins,9,compilation and playframework-2.0,"Dec 11, 2013 at 22:13"
Danny Sullivan,9,webfonts and google-webfonts and moovweb,"Dec 11, 2013 at 15:01"
Nayr006,9,visual-studio-2013 and asp.net-mvc-5 and web-essentials,"Dec 10, 2013 at 21:35"
devmao,9,android and location and android-studio and google-play-services,"Dec 10, 2013 at 8:15"
Wez Sie Tato,9,c++ and opengl and ide and qt-creator and cocos2d-x,"Dec 7, 2013 at 12:39"
jchitel,9,google-chrome-devtools and screen-resolution,"Dec 4, 2013 at 3:44"
bcattle,9,ios and iphone and avfoundation and mpmovieplayercontroller and avplayer,"Dec 3, 2013 at 18:55"
dushyantp,9,visual-studio and envdte and visual-studio-sdk,"Nov 28, 2013 at 16:51"
bullgare,9,google-chrome-devtools,"Nov 27, 2013 at 13:32"
caponica,9,javascript and android and jquery and cordova,"Nov 26, 2013 at 14:11"
rogodeter,9,node.js and curl and express and swagger and swagger-ui,"Nov 21, 2013 at 17:02"
user2330237,9,android and ios and iphone,"Nov 20, 2013 at 1:29"
krawiec,9,android and sockets and networking and port,"Nov 19, 2013 at 10:14"
ipmcc,9,xcode and git,"Nov 10, 2013 at 17:56"
Richard Baxter,9,ios and bluetooth-lowenergy and core-bluetooth,"Nov 9, 2013 at 9:33"
jrista,9,html and revokeobjecturl,"Nov 9, 2013 at 3:20"
user500,9,ios and audio and core-audio and aac and audiotoolbox,"Nov 8, 2013 at 0:29"
sacredheart,9,node.js and raspberry-pi,"Oct 31, 2013 at 18:34"
mike.shestakov,9,javascript and file and upload and google-drive-api,"Oct 31, 2013 at 7:09"
Lena Bru,9,android and hierarchy,"Oct 28, 2013 at 8:19"
user2924859,9,php and google-oauth and google-ads-api,"Oct 27, 2013 at 10:38"
user2924770,9,facebook and facebook-app-center,"Oct 27, 2013 at 9:50"
MoMo,9,ruby-on-rails and activerecord and ruby-on-rails-4 and nested-attributes,"Oct 25, 2013 at 9:32"
Ben Flynn,9,objective-c and ocmock,"Oct 25, 2013 at 0:10"
flip,9,azure and visual-studio-2013 and asp.net-mvc-5 and asp.net-identity,"Oct 23, 2013 at 6:28"
Michael,9,python and django and single-sign-on and saml and ws-federation,"Oct 17, 2013 at 20:15"
dd619,9,android and fonts and hindi,"Oct 14, 2013 at 8:30"
missingfaktor,9,scala and playframework,"Oct 12, 2013 at 9:01"
kay.one,9,java and android and intellij-idea and android-annotations and dagger,"Oct 11, 2013 at 23:26"
Ansh,9,android and android-actionbar and android-actionbar-compat,"Oct 11, 2013 at 13:45"
user2869711,9,jetty,"Oct 11, 2013 at 5:38"
Johnny Rambo,9,c# and asp.net-mvc and asp.net-mvc-4,"Oct 10, 2013 at 13:27"
karl,9,android and android-dateutils,"Oct 4, 2013 at 18:28"
Games Brainiac,9,cython and pycharm,"Sep 28, 2013 at 13:35"
Dun Peal,9,git and intellij-idea and mercurial and pycharm,"Sep 26, 2013 at 21:48"
Roger,9,eclipse and maven and tomcat and tomcat7 and maven-3,"Sep 26, 2013 at 15:51"
user2072344,9,android and unsatisfiedlinkerror and android-native-library,"Sep 26, 2013 at 15:03"
Toubey,9,ios7 and volume and mpvolumeview,"Sep 26, 2013 at 12:57"
uSeRnAmEhAhAhAhAhA,9,c# and .net and windows-phone-8,"Sep 26, 2013 at 10:55"
Udo G,9,javascript and android and polyfills,"Sep 25, 2013 at 14:22"
SlashDevSlashGnoll,9,ios and objective-c and uibutton and uiimage and ios7,"Sep 24, 2013 at 13:52"
user2779311,9,android,"Sep 21, 2013 at 17:32"
mu is too short,9,ruby-on-rails and ruby-on-rails-3 and utf-8 and routes,"Sep 19, 2013 at 22:05"
Logan Serman,9,ruby-on-rails and capistrano and resque,"Sep 16, 2013 at 5:27"
kburbach,9,android and android-scrollview and android-scroll and android-overscoll,"Sep 12, 2013 at 15:51"
condit,9,solr and lucene and solr4,"Sep 7, 2013 at 0:13"
Drew,9,javascript and .net and signalr,"Sep 6, 2013 at 5:30"
DermFrench,9,c# and wpf,"Sep 4, 2013 at 12:37"
XZS,9,video and ffmpeg and video-processing and video-encoding,"Sep 4, 2013 at 7:02"
Michael Gregorov,9,java and android and url and browser-history and android-browser,"Sep 3, 2013 at 20:37"
Michael Gregorov,9,java and android and url and browser-history and android-browser,"Sep 3, 2013 at 20:37"
Community wiki,9,android and freeze,
Jimmy,9,api and http and http-headers and user-agent,"Aug 27, 2013 at 21:24"
Bert Bear,9,php and api and wiki and mediawiki-api,"Aug 23, 2013 at 4:46"
Rasmus Franke,9,java and annotations,"Aug 19, 2013 at 11:13"
Mason Wheeler,9,android and android-ndk and firebird,"Aug 15, 2013 at 0:17"
Chris Rodriguez,9,sql and sql-server and tsql,"Aug 14, 2013 at 20:00"
dizzymonkey,9,android and webview and keyboard and textfield and ime,"Aug 8, 2013 at 19:18"
sadabmkp,9,android and database and sqlite,"Aug 6, 2013 at 11:49"
IAM,9,java and android and rotation and android-canvas,"Aug 3, 2013 at 1:31"
Sneha,9,android,"Aug 2, 2013 at 9:48"
James,9,http and google-chrome and firefox and browser-cache and http-status-code-403,"Aug 1, 2013 at 11:07"
konyak,9,git and gitk,"Jul 31, 2013 at 18:21"
SerenityNow,9,c# and asp.net-mvc and devexpress,"Jul 24, 2013 at 13:11"
Willam Hill,9,ios and state-restoration,"Jul 18, 2013 at 22:30"
Salman,9,javascript and node.js and http and child-process,"Jul 16, 2013 at 11:17"
joelhoro,9,pdf and pdftk,"Jul 10, 2013 at 13:15"
user2567410,9,ios and objective-c and mkmapview and mapkit and mkoverlay,"Jul 10, 2013 at 13:01"
jlfenaux,9,ruby-on-rails-3.2 and phantomjs and poltergeist,"Jul 2, 2013 at 9:08"
sebastian_oe,9,eclipse and debugging and java,"Jun 25, 2013 at 18:26"
zduny,9,android and android-preferences,"Jun 25, 2013 at 15:13"
sharakan,9,java and hibernate,"Jun 25, 2013 at 14:32"
dlangenk,9,python and numpy and size and pickle,"Jun 25, 2013 at 13:04"
user798719,9,macos and emacs and autocomplete,"Jun 23, 2013 at 5:36"
xwcg,9,web and caching and http-headers and cache-control,"Jun 17, 2013 at 8:39"
GreyBeardedGeek,9,android and drag-and-drop,"Jun 14, 2013 at 14:44"
ucguy,9,c# and oracle and entity-framework and connection-string,"Jun 9, 2013 at 10:55"
Greg Smethells,9,ssl and nginx and client-certificates,"Jun 7, 2013 at 16:21"
Vsevolod,9,java and android and eclipse and bouncycastle and jce,"May 31, 2013 at 10:19"
Alan2,9,azure,"May 30, 2013 at 9:45"
David Nedrow,9,java and soap and wsdl and cxf,"May 22, 2013 at 20:20"
Phil Braun,9,workflow and speech-recognition and voice-recognition,"May 20, 2013 at 4:20"
Joe,9,spring-security and oauth-2.0,"May 17, 2013 at 15:53"
rayh,9,ffmpeg and http-live-streaming and aac and transcoding and mpeg2-ts,"May 13, 2013 at 11:42"
adrianboimvaser,9,hibernate,"May 10, 2013 at 3:55"
performanceuser,9,single-sign-on and saml and user-management and application-design and user-roles,"May 6, 2013 at 1:27"
hharry,9,android and service-provider,"May 2, 2013 at 8:22"
wrealcon,9,c# and entity-framework and sqlite,"May 1, 2013 at 17:56"
olanod,9,angularjs and angularjs-directive,"Apr 30, 2013 at 16:43"
Simon Song,9,magento and bundle and shopping-cart and checkout,"Apr 24, 2013 at 19:36"
tenpn,9,macos and unity-game-engine and mono,"Apr 24, 2013 at 12:59"
George Shakhnazaryan,9,ember.js and ember-data,"Apr 22, 2013 at 14:40"
Yevgeny Simkin,9,android and nfc and onnewintent,"Apr 21, 2013 at 2:34"
German Gomez-Herrero,9,google-chrome,"Apr 18, 2013 at 13:38"
user2090226,9,android and google-play,"Apr 17, 2013 at 5:53"
Zach L,9,ios and uinavigationcontroller,"Apr 15, 2013 at 15:51"
Greg,9,node.js and ssl and https and configuration,"Apr 14, 2013 at 0:36"
Sahil,9,javascript and ios and mobile-safari and contenteditable and autocorrect,"Apr 10, 2013 at 21:38"
Mathieu Westphal,9,c++ and dynamic and dynamic-linking and shared-libraries and transitive-dependency,"Apr 10, 2013 at 10:56"
user2256781,9,ios and mobile and iframe and safari and css-position,"Apr 8, 2013 at 8:49"
ShockwaveNN,9,google-chrome and xvfb and xrandr,"Apr 5, 2013 at 8:51"
Vadym Kovalenko,9,ruby-on-rails-3 and activeadmin,"Apr 4, 2013 at 14:42"
Chris Ferdinandi,9,wordpress and html5boilerplate,"Apr 3, 2013 at 2:17"
jrock2004,9,gradle and geb,"Mar 29, 2013 at 20:20"
fastcatch,9,web-applications and facebook-apps,"Mar 20, 2013 at 11:38"
tadasajon,9,python and soap and suds,"Mar 20, 2013 at 1:20"
user976850,9,c# and c#-4.0 and code-contracts,"Mar 18, 2013 at 7:08"
ASI-USU Technology Coordinator,9,android and iframe and webview and target,"Mar 13, 2013 at 23:00"
Martin,9,node.js and socket.io and memory-leaks and heap-memory,"Mar 13, 2013 at 22:55"
DanielH,9,java and android and sockets and bluetooth and rfcomm,"Mar 13, 2013 at 8:12"
Daniel Pinyol,9,c++ and string and boost and internationalization,"Mar 12, 2013 at 22:29"
Sérgio,9,ios and core-data and nsfetchedresultscontroller,"Mar 12, 2013 at 20:02"
JonB,9,font-face and phantomjs and casperjs,"Mar 12, 2013 at 17:39"
Tom Pinchen,9,ruby-on-rails and image-processing and crop and rmagick,"Mar 8, 2013 at 9:02"
user1652427,9,c# and security and xss and html-agility-pack,"Mar 7, 2013 at 20:54"
Ivan Solntsev,9,samsung-smart-tv,"Mar 6, 2013 at 14:35"
troy,9,javascript and jquery and css,"Mar 6, 2013 at 13:36"
0xC0DEGURU,9,javascript and html and memory-leaks,"Mar 4, 2013 at 8:38"
Spencer Hunt,9,facebook-graph-api and uri and facebook-apps and facebook-page,"Mar 2, 2013 at 23:29"
darlinton,9,google-groups,"Mar 1, 2013 at 17:00"
Marcel Overdijk,9,java and oauth-2.0 and google-cloud-endpoints,"Mar 1, 2013 at 15:18"
Hoan Nguyen,9,android and bluetooth and bluetooth-sco,"Feb 28, 2013 at 4:32"
AliR,9,android and android-fragments and android-viewpager and checkedtextview and fragmentstatepageradapter,"Feb 28, 2013 at 1:12"
ritchie888,9,android and bluetooth and serial-communication and data-stream,"Feb 26, 2013 at 18:56"
John,9,javascript and jquery and event-handling and cross-browser and keyboard-shortcuts,"Feb 26, 2013 at 17:00"
Joe.wang,9,eclipse,"Feb 25, 2013 at 8:41"
mawia,9,java and quartz-scheduler and spring-roo,"Feb 19, 2013 at 8:54"
David Guyon,9,android and wifi and adhoc and nexus-7 and access-point,"Feb 17, 2013 at 2:40"
David K,9,google-apps-script and google-forms and google-docs-api,"Feb 15, 2013 at 21:13"
benkc,9,android and java-native-interface,"Feb 11, 2013 at 20:31"
Reyjohn,9,java and android and android-maps,"Feb 10, 2013 at 12:57"
S.N,9,ssl and https and apache,"Feb 7, 2013 at 16:50"
OneGuyInDc,9,ios and controls,"Feb 4, 2013 at 19:56"
geoffj,9,android and ussd,"Feb 3, 2013 at 7:56"
Nar Gar,9,android and google-api and google-play and version,"Feb 1, 2013 at 1:16"
Chris,9,android and exception and import and jar,"Jan 30, 2013 at 10:50"
